SKU	Size	Top	BackSides	Bag	String	EQ	SellingPrice	Tier70	Tier60	Tier55	DealerPrice	DiscountPercent
UMA-SUNSS1	21	Spruce	Sapele	5mm Bag	Double C1U	No EQ	305	213.5	183	167.75	167.75	45
UMA-04S	21	Acacia Koa	Acacia Koa	5mm Bag	Double C1U	No EQ	524	366.8	314.4	288.2	288.2	45
UMA-15SS	21	Acacia Koa	Acacia Koa	20mm Bag	Double C1U	No EQ	714	499.8	428.4	392.7	357	50
UMA-17SC-EQ	23	Solid Mahogany	Mahogany	20mm Bag	Double C1U	EQ	915	640.5	549	503.25	411.75	55
UMA-20SS	21	Solid Mahogany	Solid Mahogany	20mm Bag	Double C1U	No EQ	830	581	498	456.5	373.5	55
UMA-20SCP	23	Solid Mahogany	Solid Mahogany	20mm Bag	Double C1U	No EQ	1005	703.5	603	552.75	452.25	55
UMA-20SSP	21	Solid Mahogany	Solid Mahogany	20mm Bag	Double C1U	No EQ	830	581	498	456.5	373.5	55
UMA-20SC-BK	23	Solid Mahogany	Solid Mahogany	20mm Bag	Double C1U	No EQ	1005	703.5	603	552.75	452.25	55
UMA-20SCP-BK	23	Solid Mahogany	Solid Mahogany	20mm Bag	Double C1U	No EQ	1005	703.5	603	552.75	452.25	55
UMA-20ST-BK	26	Solid Mahogany	Solid Mahogany	20mm Bag	Double C1U	No EQ	1055	738.5	633	580.25	527.5	50
UMA-20SCP-BL	23	Solid Mahogany	Solid Mahogany	20mm Bag	Double C1U	No EQ	1005	703.5	603	552.75	502.5	50
UMA-20SSP-BL	21	Solid Mahogany	Solid Mahogany	20mm Bag	Double C1U	No EQ	830	581	498	456.5	373.5	55
UMA-20ST-BL	26	Solid Mahogany	Solid Mahogany	20mm Bag	Double C1U	No EQ	1055	738.5	633	580.25	474.75	55
UMA-PULSEKC	23	Solid Acacia Koa	Solid Acacia Koa	20mm Bag	Double C2U	No EQ	1895	1326.5	1137	1042.25	852.75	55
UMA-PULSESC	23	Solid Acacia Koa	Solid Acacia Koa	20mm Bag	Double C2U	No EQ	1695	1186.5	1017	932.25	762.75	55
